form	lemma	POS	morph
particulier	particulier	ADJqua	NOMB.=s|GENRE=m
contentement	contentement	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
voſtre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
Maieſté	majesté	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
commun	commun	ADJqua	NOMB.=s|GENRE=m
bien	bien	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
voſtre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
France	France	NOMpro	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m
tres	très	ADVgen	MORPH=empty
-	-	PONfbl	MORPH=empty
humble	humble	ADJqua	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
tresaffectionné	très_affectionné	ADJqua	NOMB.=s|GENRE=m
ſeruiteur	serviteur	NOMcom	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
ſubiect	sujet	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
voſtre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
Maieſté	majesté	NOMpro	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
ROBERT	Robert	NOMpro	NOMB.=s|GENRE=m
GARNIER	Garnier	NOMpro	NOMB.=s|GENRE=x
.	.	PONfrt	MORPH=empty
AV	à_le	PRE.DETdef	NOMB.=s|GENRE=m
ROY	roi	NOMcom	NOMB.=s|GENRE=m
DE	de	PRE	MORPH=empty
FRANCE	France	NOMpro	NOMB.=s|GENRE=f
ET	et	CONcoo	MORPH=empty
DE	de	PRE	MORPH=empty
POLOIGNE	Pologne	NOMpro	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
LES	le	DETdef	NOMB.=p|GENRE=m
Rois	roi	NOMpro	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
enfans	enfant	NOMcom	NOMB.=p|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Ciel	ciel	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=f
images	image	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
Iupiter	Jupiter	NOMpro	NOMB.=s|GENRE=m
en	en	PROadv	MORPH=empty
prend	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cure	cure	NOMcom	NOMB.=s|GENRE=f
&	et	CONcoo	MORPH=empty
les	il	PROper	PERS.=3|GENRE=m|NOMB.=p|CAS=n
garde	garde	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
d’	de	PRE	MORPH=empty
outrages	outrage	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
reuerer	révérer	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
reputant	réputer	VERppa	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
honneurs	honneur	NOMcom	NOMB.=p|GENRE=m
Eſtre	être	VERinf	MORPH=empty
à	à	PRE	MORPH=empty
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
meſme	même	ADJind	NOMB.=s|GENRE=m
faits	faire	VERppe	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
qu’	que	PROrel	NOMB.=p|GENRE=m
on	on	PROind	NOMB.=s|GENRE=n
rend	rendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
ſes	son	DETdem	PERS.=3|NOMB.=p|GENRE=m
ſeigneurs	seigneur	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Quand	quand	CONsub	MORPH=empty
ils	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
quelquefois	quelquefois	ADVgen	MORPH=empty
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=f
ames	âme	NOMcom	NOMB.=p|GENRE=f
trop	trop	ADVgen	MORPH=empty
cruelles	cruel	ADJqua	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
Outrageant	outrager	VERppa	NOMB.=p|GENRE=m
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
ſuiets	sujet	NOMcom	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
ne	ne	ADVneg	MORPH=empty
leur	il	PROper	PERS.=3|GENRE=m|NOMB.=p|CAS=i
ſont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
rebelles	rebelle	ADJqua	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Bien	bien	ADVgen	MORPH=empty
qu’	que	CONsub	MORPH=empty
épris	éprendre	VERppe	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
colere	colère	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
les	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
coups	coup	NOMcom	NOMB.=p|GENRE=m
Par	par	PRE	MORPH=empty
ſignes	signe	NOMcom	NOMB.=p|GENRE=m
aduertir	avertir	VERinf	MORPH=empty
de	de	PRE	MORPH=empty
ſon	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
ardant	ardre	VERppa	NOMB.=s|GENRE=m
courroux	courroux	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
trouble	troubler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s|GENRE=m
air	air	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
uents	vent	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
d’	de	PRE	MORPH=empty
éclairs	éclair	NOMcom	NOMB.=p|GENRE=m
&	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
tonnerres	tonnerre	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
enfler	enfler	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
mers	mer	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
trembler	trembler	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
terres	terre	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
Fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pallir	pâlir	VERinf	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Soleil	soleil	NOMpro	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
grand	grand	ADJqua	NOMB.=s|GENRE=m
front	front	NOMcom	NOMB.=s|GENRE=m
lumineux	lumineux	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Ou	ou	CONcoo	MORPH=empty
ſur	sur	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
ciel	ciel	NOMcom	NOMB.=s|GENRE=m
attache	attacher	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
vn	un	DETndf	NOMB.=s|GENRE=m
Comete	comète	NOMpro	NOMB.=s|GENRE=m
crineux	crineux	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
A	à	PRE	MORPH=empty
fin	fin	NOMcom	NOMB.=s|GENRE=f
qu’	que	CONsub	MORPH=empty
eſpouuantez	épouvanter	VERppe	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
ſa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
dure	dur	ADJqua	NOMB.=s|GENRE=f
menace	menace	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Ils	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
amendent	amender	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
&	et	CONcoo	MORPH=empty
recouurent	recourir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ſa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
grace	grâce	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
Tant	tant	ADVgen	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
leur	il	PROper	PERS.=3|GENRE=m|NOMB.=p|CAS=i
eſt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
clement	clément	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
tant	tant	ADVgen	MORPH=empty
peu	peu	ADVgen	MORPH=empty
volontiers	volontiers	ADJqua	NOMB.=s|GENRE=m
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
venge	venger	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m
forfaits	forfait	NOMcom	NOMB.=p|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
monarques	monarque	NOMcom	NOMB.=p|GENRE=m
fautiers	fautier	ADJqua	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
bons	bon	NOMcom	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
paix	paix	NOMcom	NOMB.=s|GENRE=f
&	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
iuſtice	justice	NOMcom	NOMB.=s|GENRE=f
honorent	honorer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
ſemblables	semblable	ADJqua	NOMB.=p|GENRE=m
à	à	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
les	le	PROper	NOMB.=p|GENRE=f
cruautez	cruauté	NOMcom	NOMB.=p|GENRE=f
abhorrent	abhorrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
,	,	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
touſiours	toujours	ADVgen	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
ſoing	soin	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
ſceptres	sceptre	NOMcom	NOMB.=p|GENRE=m
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
maintient	maintenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
contre	contre	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
haineurs	haineur	NOMcom	NOMB.=p|GENRE=m
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=f
querelle	querelle	NOMcom	NOMB.=s|GENRE=f
ſouſtient	soutenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
veut	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
vertus	vertu	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=f
ame	âme	NOMcom	NOMB.=s|GENRE=f
enfantees	enfanter	VERppe	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
Comme	comme	CONsub	MORPH=empty
celeſtes	céleste	ADJqua	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
ſoyent	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
Muſes	muse	NOMpro	NOMB.=p|GENRE=f
chantees	chanter	VERppe	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Pour	pour	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
heur	heure	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
voſtre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
qu’	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=n
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
ſoit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
permis	permettre	VERppe	NOMB.=s|GENRE=n
De	de	PRE	MORPH=empty
gouuerner	gouverner	VERinf	MORPH=empty
long	long	ADJqua	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=r
vos	votre	DETpos	PERS.=2|NOMB.=p|GENRE=m
peuples	peuple	NOMcom	NOMB.=p|GENRE=m
commis	commettre	VERppe	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
Que	que	CONsub	MORPH=empty
touſiours	toujours	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
victoire	victoire	NOMcom	NOMB.=s|GENRE=f
accompagne	accompagner	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
vos	votre	DETpos	PERS.=2|NOMB.=p|GENRE=f
bandes	bande	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
Soit	être	CONsub	MORPH=empty
allant	aller	VERppa	NOMB.=s|GENRE=m
inueſtir	investir	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
troupes	troupe	NOMcom	NOMB.=p|GENRE=f
Alemandes	allemand	NOMpro	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
Soit	être	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
brun	brun	ADJqua	NOMB.=s|GENRE=m
Eſpagnol	espagnol	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ou	ou	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
Breton	breton	NOMpro	NOMB.=s|GENRE=m
mutin	mutin	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
Ou	ou	CONcoo	MORPH=empty
ceux	celui	PROdem	NOMB.=p|GENRE=m
qu’	que	PROrel	NOMB.=p|GENRE=m
entre	entre	PRE	MORPH=empty
deux	deux	DETcar	NOMB.=p|GENRE=f
mers	mer	NOMcom	NOMB.=p|GENRE=f
ſepare	séparer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l’	le	DETdef	NOMB.=s|GENRE=m
Apennin	Apennin	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Que	que	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
Rois	roi	NOMpro	NOMB.=p|GENRE=m
ennemis	ennemi	ADJqua	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
feront	faire	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f
guerre	guerre	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Abandonnez	abandonner	VERppe	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
ſoyent	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
chaſſez	chasser	VERppe	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=f
terre	terre	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
Perdent	perdre	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
gloire	gloire	NOMcom	NOMB.=s|GENRE=f
&	et	CONcoo	MORPH=empty
Empire	empire	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
&	et	CONcoo	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
malheur	malheur	NOMcom	NOMB.=s|GENRE=m
chetifs	chétif	ADJqua	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
A	à	PRE	MORPH=empty
vos	votre	DETpos	PERS.=2|NOMB.=p|GENRE=m
pieds	pied	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
ſauueurs	sauveur	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
ſoyent	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p
preſentez	présenter	VERppe	NOMB.=p|GENRE=m
captifs	captif	ADJqua	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
puiſſe	pouvoir	VERcjg	MODE=sub|TEMPS=pst|NOMB.=s|PERS.=1
d’	de	PRE	MORPH=empty
eux	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i
faire	faire	VERinf	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
tragedie	tragédie	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
Semblable	semblable	ADJqua	NOMB.=s|GENRE=f
à	à	PRE	MORPH=empty
celles	celui	PROdem	NOMB.=p|GENRE=f
-	-	PONfbl	MORPH=empty
cy	ci	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
qu'	que	CONsub	MORPH=empty
humble	humble	ADJqua	NOMB.=s|GENRE=x
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=i
dedie	dédier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
Où	où	PROrel	CAS=i
i'	je	PROper	PERS.=3|NOMB.=s|CAS=n|GENRE=x
empoule	empouler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
vers	vers	NOMcom	NOMB.=p|GENRE=m
pleins	plein	ADJqua	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
ſang	sang	NOMcom	NOMB.=s|GENRE=m
&	et	CONcoo	MORPH=empty
d’	de	PRE	MORPH=empty
horreur	horreur	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
De	de	PRE	MORPH=empty
larmes	larme	NOMcom	NOMB.=p|GENRE=f
