form	lemma	POS	morph
faisoie	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=1|NOMB.=s
accroire	accroire	VERinf	MORPH=empty
que	que	CONsub	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=m
train	train	NOMcom	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
pourroit	pouvoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
compatir	compatir	VERinf	MORPH=empty
avec	avec	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
naturelle	naturel	ADJqua	NOMB.=s|GENRE=f
habitude	habitude	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=f
gayes	gai	NOMcom	NOMB.=p|GENRE=f
philosophies	philosophie	NOMcom	NOMB.=p|GENRE=f
,	,	PONfbl	MORPH=empty
ou	ou	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
quelques	quelque	DETind	NOMB.=p|GENRE=m
uns	un	PROind	NOMB.=p|GENRE=m
n’	ne	ADVneg	MORPH=empty
ayant	avoir	VERppa	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
yeux	œil	NOMcom	NOMB.=p|GENRE=m
bien	bien	ADVgen	MORPH=empty
dessillez	dessiller	VERppe	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
grand	grand	ADJqua	NOMB.=s|GENRE=m
matin	matin	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
valoir	valoir	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
monstrer	montrer	VERinf	MORPH=empty
à	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
postérité	postérité	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
qu’	que	CONsub	MORPH=empty
ils	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=n
n’	ne	ADVneg	MORPH=empty
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
esté	être	VERppe	NOMB.=p|GENRE=m
en	en	PRE	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
creatures	créature	NOMcom	NOMB.=p|GENRE=f
inutiles	inutile	ADJqua	NOMB.=p|GENREf
De	de	PRE	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
les	le	DETdef	NOMB.=p|GENRE=f
façons	façon	NOMcom	NOMB.=p|GENRE=f
qu’	que	PROrel	MORPH=empty
on	on	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=n
voudra	vouloir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r
prendre	prendre	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
demeureray	demeurer	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s
tousjours	toujours	ADVgen	MORPH=empty
droit	droit	ADJqua	NOMB.=s|GENRE=m
sur	sur	PRE	MORPH=empty
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=m
deux	deux	ADJcar	NOMB.=p|GENRE=m
pieds	pied	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
puis	puis	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ay	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
tesmoignage	témoignage	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
mesmes	même	ADJind	NOMB.=s|GENRE=x
,	,	PONfbl	MORPH=empty
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
semonce	semonce	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
que	que	PROrel	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
fais	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
,	,	PONfbl	MORPH=empty
part	partir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
d'	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
syncerité	sincérité	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
pureté	pureté	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
cordiale	cordial	ADJqua	NOMB.=s|GENRE=f
integrité	intégrité	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
En	en	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
mot	mot	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=m
amour	amour	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
affection	affection	NOMcom	NOMB.=s|GENRE=f
que	que	PROrel	NOMB.=p|GENRE=m
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
porte	porter	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
à	à	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
pays	pays	NOMcom	NOMB.=s|GENRE=m
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
garantira	garantir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
reproche	reproche	NOMcom	NOMB.=s|GENRE=m
qu'	que	PROrel	NOMB.=s|GENRE=m
on	on	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=n
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
pourroit	pouvoir	VERcjg	MODE=con|PERS.=3|NOMB.=s
donner	donner	VERinf	MORPH=empty
,	,	PONfbl	MORPH=empty
pour	pour	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
si	si	ADVgen	MORPH=empty
hardie	hardi	ADJqua	NOMB.=s|GENRE=f
entreprise	entreprise	NOMcom	NOMB.=s|GENRE=f
qu’	que	CONsub	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
celle	celui	PROdem	NOMB.=s|GENRE=f
à	à	PRE	MORPH=empty
laquelle	lequel	PROrel	NOMB.=s|GENRE=f
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
lient	lier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=m
Apres	après	ADVgen	MORPH=empty
-	-	PONfbl	MORPH=empty
disnees	dînée	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
L’	le	DETdef	NOMB.=s|GENRE=f
intention	intention	NOMcom	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
bonne	bon	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=m
ouvrier	ouvrier	NOMcom	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
vise	viser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu’	que	CONsub	MORPH=empty
à	à	PRE	MORPH=empty
bien	bien	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
moyens	moyen	NOMcom	NOMB.=p|GENRE=m
ne	ne	ADVneg	MORPH=empty
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
que	que	CONsub	MORPH=empty
bons	bon	ADJqua	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
n’	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
à	à	PRE	MORPH=empty
croire	croire	VERinf	MORPH=empty
que	que	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
effets	effet	NOMcom	NOMB.=p|GENRE=m
ne	ne	ADVneg	MORPH=empty
participent	participer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
à	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
bonté	bonté	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Goustez	goûter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
à	à	PRE	MORPH=empty
mesmes	même	PROind	NOMB.=p|GENRE=m
si	si	CONsub	MORPH=empty
nos	notre	DETpos	PERS.=1|NOMB.=p|GENRE=m
fruits	fruit	NOMcom	NOMB.=p|GENRE=m
ne	ne	ADVneg	MORPH=empty
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
pas	pas	ADVneg	MORPH=empty
bons	bon	ADJqua	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
AUDENTES	@latin	OUT	MORPH=empty
FORTUNE	@latin	OUT	MORPH=empty
JUVAT	@latin	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
LES	le	DETdef	NOMB.=p|GENRE=f
APRES	après	ADVgen	MORPH=empty
DISNEES	dînée	NOMcom	NOMB.=p|GENRE=f
DU	de_le	PRE.DETdef	NOMB.=s|GENRE=m
SEIGNEUR	seigneur	NOMcom	NOMB.=s|GENRE=m
DE	de	PRE	MORPH=empty
CHOLIERES	Cholières	NOMpro	NOMB.=s|GENRE=x
.	.	PONfrt	MORPH=empty
DU	de_le	PRE.DETdef	NOMB.=s|GENRE=m
VEILLER	veiller	NOMcom	NOMB.=s|GENRE=m
ET	et	CONcoo	MORPH=empty
DU	de_le	PRE.DETdef	NOMB.=s|GENRE=m
DORMIR	dormir	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
S’	si	CONsub	MORPH=empty
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dormir	dormir	VERinf	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
apres	après	ADVgen	MORPH=empty
disnee	dînée	NOMcom	NOMB.=s|GENRE=f
?	?	PONfrt	MORPH=empty
APRES	après	ADVgen	MORPH=empty
DISNEE	dînée	NOMcom	NOMB.=s|GENRE=f
I	1	ADJcar	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=f
nappes	nappe	NOMcom	NOMB.=p|GENRE=f
levees	lever	VERppe	NOMB.=p|GENRE=f
le	le	DETdef	NOMB.=s|GENRE=m
sʳ	sʳ	NOMcom	NOMB.=s|GENRE=m
l’	le	DETdef	NOMB.=s|GENRE=m
Eveillé	éveillé	NOMpro	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
pour	pour	PRE	MORPH=empty
faire	faire	VERinf	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=m
honneste	honnête	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
monstrer	montrer	VERinf	MORPH=empty
qu’	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
l’	le	DETdef	NOMB.=s|GENRE=m
esprit	esprit	NOMcom	NOMB.=s|GENRE=m
gaillard	gaillard	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=m
œil	œil	NOMcom	NOMB.=s|GENRE=m
tendu	tendre	VERppe	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
bois	bois	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
s’	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
adressant	adresser	VERppa	NOMB.=s|GENRE=m
à	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
compagnie	compagnie	NOMcom	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
va	aller	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
dire	dire	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
Quoy	quoi	PROrel	NOMB.=s|GENRE=n
que	que	PROrel	NOMB.=s|GENRE=n
je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
n’	ne	ADVneg	MORPH=empty
aye	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
pas	pas	ADVneg	MORPH=empty
mené	mener	VERppe	NOMB.=s|GENRE=x
grande	grand	ADJqua	NOMB.=s|GENRE=f
poussiere	poussière	NOMcom	NOMB.=s|GENRE=f
durant	durer	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
disner	dîner	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
messieurs	monsieur	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
peut	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	être	VERinf	MORPH=empty
ne	ne	ADVneg	MORPH=empty
treuverez	trouver	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
mauvais	mauvais	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
ceste	ce	DETdem	NOMB.=s|GENRE=f
apres	après	ADVgen	MORPH=empty
-	-	PONfbl	MORPH=empty
disnee	dînée	NOMcom	NOMB.=s|GENRE=f
se	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
passe	passer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
à	à	PRE	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=r
resveiller	réveiller	VERinf	MORPH=empty
par	par	PRE	MORPH=empty
un	un	DETndf	NOMB.=s|GENRE=m
discours	discours	NOMcom	NOMB.=s|GENRE=m
commun	commun	ADJqua	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
veiller	veiller	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
dormir	dormir	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
bien	bien	ADVgen	MORPH=empty
trompé	tromper	VERppe	NOMB.=s|GENRE=x
si	si	CONsub	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
n’	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
toucher	toucher	VERinf	MORPH=empty
droit	droit	ADVgen	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
poinct	point	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
entamer	entamer	VERinf	MORPH=empty
l’	le	DETdef	NOMB.=s|GENRE=f
affaire	affaire	NOMcom	NOMB.=s|GENRE=f
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
costé	côté	NOMcom	NOMB.=s|GENRE=m
qu’	que	PROrel	NOMB.=s|GENRE=m
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
faut	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
sçavez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
que	que	CONsub	MORPH=empty
nostre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=f
déliberation	délibération	NOMcom	NOMB.=s|GENRE=f
commune	commun	ADJqua	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
desrober	dérober	VERinf	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
plaisirs	plaisir	NOMcom	NOMB.=p|GENRE=m
que	que	PROrel	NOMB.=p|GENRE=m
nous	nous	PROper	PERS.=1|NOMB.=p|GENRE=x|CAS=n
pourrons	pouvoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=p
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
dresser	dresser	VERinf	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
escole	école	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
philosophie	philosophie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
On	on	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
accoustumé	accoutumer	VERppe	NOMB.=s|GENRE=m
pernicieux	pernicieux	ADJqua	NOMB.=s|GENRE=x
ce	ce	PROdem	NOMB.=s|GENRE=n
qui	qui	PROrel	NOMB.=s|GENRE=n
de	de	PRE	MORPH=empty
soy	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=i
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
proffitable	profitable	ADJqua	NOMB.=s|GENRE=n
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=x
autres	autre	PROind	NOMB.=p|GENRE=x
.	.	PONfrt	MORPH=empty
De	de	PRE	MORPH=empty
mesmes	même	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
