form	lemma	POS	morph
liure	livre	NOMcom	NOMB.=s|GENRE=m
n	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
si	si	CONsub	MORPH=empty
grande	grand	ADJqua	NOMB.=s|GENRE=f
apparence	apparence	NOMcom	NOMB.=s|GENRE=f
comme	comme	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
pourra	pouvoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
estre	être	VERinf	MORPH=empty
d	de	PRE	MORPH=empty
estime	estime	NOMcom	NOMB.=s|GENRE=f
si	si	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
prenez	prendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
quelque	quelque	DETind	NOMB.=s|GENRE=f
foys	fois	NOMcom	NOMB.=s|GENRE=f
vouloir	vouloir	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
mectre	mettre	VERinf	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
nombre	nombre	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
ceulx	celui	PROdem	NOMB.=p|GENRE=m
que	que	PROrel	NOMB.=p|GENRE=m
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
auez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
en	en	PRE	MORPH=empty
reputation	réputation	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
que	que	PROrel	NOMB.=p|GENRE=m
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
lisez	lire	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
et	et	CONcoo	MORPH=empty
oyez	ouïr	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
diligemment	diligemment	ADVgen	MORPH=empty
et	et	CONcoo	MORPH=empty
intelligiblement	intelligiblement	ADVgen	MORPH=empty
,	,	PONfbl	MORPH=empty
ainsi	ainsi	ADVgen	MORPH=empty
qu	que	CONsub	MORPH=empty
il	il	PROper	PERS.=0|NOMB.=s|GENRE=n|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cler	clair	ADJqua	NOMB.=s|GENRE=n
et	et	CONcoo	MORPH=empty
euident	évider	VERppa	NOMB.=s|GENRE=n
a	à	PRE	MORPH=empty
ceulx	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
uous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=r
oyẽt	ouïr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
parler	parler	VERinf	MORPH=empty
d	de	PRE	MORPH=empty
histoires	histoire	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
autres	autre	DETind	NOMB.=p|GENRE=f
choses	chose	NOMcom	NOMB.=p|GENRE=f
emanees	émaner	VERppe	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
literature	littérature	NOMcom	NOMB.=s|GENRE=f
s	si	CONsub	MORPH=empty
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=n
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
iugement	jugement	NOMcom	NOMB.=p|GENRE=m
pour	pour	PRE	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
faire	faire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Non	non	ADVneg	MORPH=empty
pas	pas	ADVneg	MORPH=empty
que	que	CONsub	MORPH=empty
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
pense	penser	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
ledit	ledit	DETcom	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
estre	être	VERinf	MORPH=empty
a	à	PRE	MORPH=empty
estimer	estimer	VERinf	MORPH=empty
pour	pour	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
industrie	industrie	NOMcom	NOMB.=s|GENRE=f
d	de	PRE	MORPH=empty
auoir	avoir	VERinf	MORPH=empty
mis	mettre	VERppe	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
ordre	ordre	NOMcom	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
contenu	contenu	NOMcom	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
si	si	CONsub	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
auez	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
selon	selon	PRE	MORPH=empty
l	la	DETdef	NOMB.=s|GENRE=f
opinion	opinion	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
hõmes	homme	NOMcom	NOMB.=p|GENRE=m
ung	un	ADJqua	NOMB.=s|GENRE=m
hault	haut	ADJqua	NOMB.=s|GENRE=m
magnanime	magnanime	ADJqua	NOMB.=s|GENRE=m
royal	royal	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
auguste	auguste	ADJqua	NOMB.=s|GENRE=m
vouloir	vouloir	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
augmẽter	augmenter	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
fortune	fortune	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
mectre	mettre	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
auant	avant	NOMcom	NOMB.=s|GENRE=m
ceulx	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
se	se	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
monstrerõt	montrer	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
euure	œuvre	NOMcom	NOMB.=s|GENRE=f
auoir	avoir	VERinf	MORPH=empty
merite	mériter	VERppe	NOMB.=s|GENRE=x
qui	qui	PROrel	NOMB.=p|GENRE=m
se	se	PROper	PERS.=3|NOMB.=p|GENRE=x|CAS=r
sentent	sentir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
de	de	PRE	MORPH=empty
vostre	votre	DETpos	PERS.=2|NOMB.=s|GENRE=f
renommee	renommer	VERppe	NOMB.=s|GENRE=f
liberalite	libéralité	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
en	en	PRE	MORPH=empty
quoy	quoi	PROrel	NOMB.=s|GENRE=n
faisant	faire	VERppa	NOMB.=s|GENRE=x
sire	sire	NOMcom	NOMB.=s|GENRE=m
vous	vous	PROper	PERS.=2|NOMB.=p|GENRE=x|CAS=n
reueillerez	réveiller	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
et	et	CONcoo	MORPH=empty
exciterez	exciter	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=m
bons	bon	ADJqua	NOMB.=p|GENRE=m
