form	lemma	POS	morph
estude	étude	NOMcom	NOMB.=s|GENRE=f
florissant	florir	VERppa	NOMB.=s|GENRE=x
douloureux	douloureux	ADJqua	NOMB.=s|GENRE=x
Las	las	INJ	NOMB.=s|GENRE=x
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
cõstraint	contraindre	VERppe	NOMB.=s|GENRE=x
cõmẽcer	commencer	VERinf	MORPH=empty
ꝑ	par	PRE	MORPH=empty
misere	misère	NOMcom	NOMB.=s|GENRE=f
Metres	mètre	NOMcom	NOMB.=p|GENRE=m
tristes	triste	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
dolante	doler	VERppa	NOMB.=s|GENRE=f
matiere	matière	NOMcom	NOMB.=s|GENRE=f
Car	car	CONcoo	MORPH=empty
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=f
muses	muse	NOMcom	NOMB.=p|GENRE=f
deschireez	déchirer	VERppe	NOMB.=p|GENRE=f
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
dittent	diter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
;	;	PONfbl	MORPH=empty
Choses	chose	NOMcom	NOMB.=p|GENRE=f
que	que	PROrel	NOMB.=p|GENRE=f
doy	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
et	et	CONcoo	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
incitent	inciter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
Puis	puis	ADVgen	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
metres	mètre	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
misere	misère	NOMcom	NOMB.=s|GENRE=f
y	y	PROadv	MORPH=empty
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
place	place	NOMcom	NOMB.=s|GENRE=f
Qui	qui	PROrel	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
urays	vrai	ADJqua	NOMB.=p|GENRE=m
pleurs	pleur	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
fort	fort	ADVgen	MORPH=empty
arrousent	arroser	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
face	face	NOMcom	NOMB.=s|GENRE=f
Au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
moĩs	moins	ADVgen	MORPH=empty
craĩte	crainte	NOMcom	NOMB.=s|GENRE=f
d	de	PRE	MORPH=empty
autruy	autrui	PROind	NOMB.=s|GENRE=x
n	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
peu	peu	ADVgen	MORPH=empty
deffẽdre	défendre	VERinf	MORPH=empty
Noz	notre	DETpos	PERS.=1|NOMB.=p|GENRE=f
ꝯpaignes	compagne	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
nrẽ	notre	DETpos	PERS.=1|NOMB.=s|GENRE=m
chemin	chemin	NOMcom	NOMB.=s|GENRE=m
prendre	prendre	VERinf	MORPH=empty
Celles	celui	DETdem	NOMB.=p|GENRE=f
muses	muse	NOMcom	NOMB.=p|GENRE=f
furẽt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
iadis	jadis	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
glore	gloire	NOMcom	NOMB.=s|GENRE=f
De	de	PRE	MORPH=empty
ieunesse	jeunesse	NOMcom	NOMB.=s|GENRE=f
qͥ	qui	PROrel	NOMB.=s|GENRE=f
me	me	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
uerdoye	verdoyer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
encore	encore	ADVgen	MORPH=empty
Me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
console	consoler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
aduersite	adversité	NOMcom	NOMB.=s|GENRE=f
Triste	triste	ADJqua	NOMB.=s|GENRE=n
ancien	ancien	ADJqua	NOMB.=s|GENRE=n
com	comme	CONsub	MORPH=empty
hõme	homme	NOMcom	NOMB.=s|GENRE=m
auers	avers	ADJqua	NOMB.=s|GENRE=m
cite	citer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Uieillesse	vieillesse	NOMcom	NOMB.=s|GENRE=f
uint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
hastiue	hâtif	ADJqua	NOMB.=s|GENRE=f
inopinee	inopiné	ADJqua	NOMB.=s|GENRE=f
A	à	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
dolent	douloir	VERppa	NOMB.=s|GENRE=m
ꝑ	par	PRE	MORPH=empty
malle	mal	ADJqua	NOMB.=s|GENRE=f
destinee	destinée	NOMcom	NOMB.=s|GENRE=f
Et	et	CONcoo	MORPH=empty
ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
douleur	douleur	NOMcom	NOMB.=s|GENRE=f
ꝯmãda	commander	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
uieillesse	vieillesse	NOMcom	NOMB.=s|GENRE=f
Entrer	entrer	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
,	,	PONfbl	MORPH=empty
ains	ains	ADVgen	MORPH=empty
qu	que	CONsub	MORPH=empty
en	en	PROadv	MORPH=empty
fust	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
hors	hors	PRE	MORPH=empty
ieunesse	jeunesse	NOMcom	NOMB.=s|GENRE=f
Deuãt	devant	PRE	MORPH=empty
leur	leur	DETpos	PERS.=3|NOMB.=s|GENRE=m
tẽps	temps	NOMcom	NOMB.=s|GENRE=m
cheueux	cheveu	NOMcom	NOMB.=p|GENRE=m
blãs	blanc	ADJqua	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
chenus	chenu	ADJqua	NOMB.=p|GENRE=m
Sõt	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
espandus	épandre	VERppe	NOMB.=p|GENRE=m
en	en	PRE	MORPH=empty
mõ	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
chief	chef	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
uenus	venir	VERppe	NOMB.=p|GENRE=m
Mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
cuir	cuir	NOMcom	NOMB.=s|GENRE=m
lasche	lâche	ADJqua	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tout	tout	DETind	NOMB.=s|GENRE=m
mon	mon	ADJpos	PERS.=1|NOMB.=s|GENRE=m
corps	corps	NOMcom	NOMB.=s|GENRE=m
trembler	trembler	VERinf	MORPH=empty
Et	et	CONcoo	MORPH=empty
ꝑ	par	PRE	MORPH=empty
soussi	souci	NOMcom	NOMB.=s|GENRE=m
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
nourreture	nourriture	NOMcom	NOMB.=s|GENRE=f
embler	embler	VERinf	MORPH=empty
On	on	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
mort	mort	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
hões	homme	NOMcom	NOMB.=p|GENRE=m
estre	être	VERinf	MORPH=empty
eureuse	heureux	ADJqua	NOMB.=s|GENRE=f
Qui	qui	PROrel	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
uiẽt	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVneg	MORPH=empty
en	en	PRE	MORPH=empty
saisõ	saison	NOMcom	NOMB.=s|GENRE=f
plãtureuse	plantureux	ADJqua	NOMB.=s|GENRE=f
Mais	mais	CONcoo	MORPH=empty
des	de_le	PRE_DETdef	NOMB.=p|GENRE=x
tristes	triste	NOMcom	NOMB.=p|GENRE=x
molt	moult	ADVgen	MORPH=empty
souuẽt	souvent	ADVgen	MORPH=empty
appellee	appeler	VERppe	NOMB.=s|GENRE=f
Elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
y	y	PROadv	MORPH=empty
affuit	affuir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nue	nu	ADJqua	NOMB.=s|GENRE=f
,	,	PONfbl	MORPH=empty
seche	sécher	VERppe	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
pelee	peler	VERppe	NOMB.=s|GENRE=f
Las	las	INJ	MORPH=empty
que	que	CONsub	MORPH=empty
de	de	PRE	MORPH=empty
moult	moult	DETind	NOMB.=s|GENRE=f
sourde	sourd	ADJqua	NOMB.=s|GENRE=f
oreille	oreille	NOMcom	NOMB.=s|GENRE=f
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n
escoute	écouter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Les	le	DETdef	NOMB.=p|GENRE=x
maleureux	malheureux	NOMcom	NOMB.=p|GENRE=x
comme	comme	CONsub	MORPH=empty
cellui	celui	PROdem	PERS.=3|NOMB.=s|GENRE=x
qui	qui	PROrel	NOMB.=s|GENRE=x
n	ne	ADVneg	MORPH=empty
oyt	ouïr	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
goutte	goutte	NOMcom	NOMB.=s|GENRE=f
Et	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
cruelle	cruel	ADJqua	NOMB.=s|GENRE=f
demie	demi	ADJqua	NOMB.=s|GENRE=f
fermeture	fermeture	NOMcom	NOMB.=s|GENRE=f
Aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
yeulx	œil	NOMcom	NOMB.=p|GENRE=m
plourãs	pleurer	VERppa	NOMB.=p|GENRE=m
qͥ	qui	PROrel	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
uiure	vivre	VERinf	MORPH=empty
n	ne	ADVneg	MORPH=empty
õt	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
cure	cure	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
Cõme	comme	CONsub	MORPH=empty
fortune	fortune	NOMcom	NOMB.=s|GENRE=f
faulse	faux	ADJqua	NOMB.=s|GENRE=f
si	si	CONsub	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
blandist	blandir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Et	et	CONcoo	MORPH=empty
que	que	CONsub	MORPH=empty
apres	après	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
par	par	PRE	MORPH=empty
biens	bien	NOMcom	NOMB.=p|GENRE=m
mondains	mondain	ADJqua	NOMB.=p|GENRE=m
tendist	tendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
L	Le	DETdef	NOMB.=s|GENRE=f
heure	heure	NOMcom	NOMB.=s|GENRE=f
triste	triste	ADJqua	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
mort	mort	NOMcom	NOMB.=s|GENRE=f
auoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
plongie	plonger	VERppe	NOMB.=s|GENRE=f
Presq̃	presque	ADVgen	MORPH=empty
mõ	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
chiez	chef	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
douleur	douleur	NOMcom	NOMB.=s|GENRE=f
tout	tout	ADVgen	MORPH=empty
rongie	ronger	VERppe	NOMB.=s|GENRE=m
;	;	PONfbl	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
maintenant	maintenant	ADVgen	MORPH=empty
pour	pour	PRE	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
que	que	PROrel	NOMB.=s|GENRE=n
icelle	icelui	DETdem	NOMB.=s|GENRE=f
obscure	obscur	ADJqua	NOMB.=s|GENRE=f
M	me	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ia	jà	ADVgen	MORPH=empty
mue	muer	VERppe	NOMB.=s|GENRE=f
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
face	face	NOMcom	NOMB.=s|GENRE=f
faulse	faux	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
sure	sûr	ADJqua	NOMB.=s|GENRE=f
Ma	mon	DETpos	PERS.=1|NOMB.=s|GENRE=f
male	mal	ADJqua	NOMB.=s|GENRE=f
uie	vie	NOMcom	NOMB.=s|GENRE=f
m	me	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=i
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
prolongie	prolonger	VERppe	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
meurs	mur	NOMcom	NOMB.=p|GENRE=f
Nõ	non	ADVneg	MORPH=empty
agreables	agréable	ADJqua	NOMB.=p|GENRE=f
dõt	dormir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ie	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
mauldis	maudire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=f
heures	heure	NOMcom	NOMB.=p|GENRE=f
Uoꝰ	vous	PROper	PERS.=2|NOMB.=p|GENRE=n|CAS=n
mes	mon	DETpos	PERS.=1|NOMB.=p|GENRE=m
amys	ami	NOMcom	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m
souuẽt	souvent	ADVgen	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
hantez	hanter	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p
Pour	pour	PRE	MORPH=empty
biẽ	bien	ADVgen	MORPH=empty
eureux	heureux	ADJqua	NOMB.=s|GENRE=x
iamais	jamais	ADVgen	MORPH=empty
ne	ne	ADVneg	MORPH=empty
me	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
vantez	vanter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
Tel	tel	PROind	NOMB.=s|GENRE=x
ne	ne	ADVneg	MORPH=empty
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
pas	pas	ADVneg	MORPH=empty
puis	puis	ADVgen	MORPH=empty
q̃	que	CONsub	MORPH=empty
ꝑ	par	PRE	MORPH=empty
sus	sus	PRE	MORPH=empty
mõ	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
gre	gré	NOMcom	NOMB.=s|GENRE=m
Fortune	Fortune	NOMpro	NOMB.=s|GENRE=f
m	me	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mis	mettre	VERppe	NOMB.=s|GENRE=x
hors	hors	PRE	MORPH=empty
ferme	fermer	ADJqua	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
gre	gré	NOMcom	NOMB.=s|GENRE=m
Glose	glose	NOMcom	NOMB.=s|GENRE=f
SEstui	cist	DETdem	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
consolation	consolation	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
philosophie	philosophie	NOMcom	NOMB.=s|GENRE=f
ouquel	à_lequel	ADJqua	NOMB.=s|GENRE=m
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
ẽsuiuãt	ensuivre	VERppa	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
maniere	manière	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
platon	Platon	NOMpro	NOMB.=s|GENRE=m
procede	procéder	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
dyalogue	dialogue	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
et	et	CONcoo	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
diuise	diviser	VERppe	NOMB.=s|GENRE=m
en	en	PRE	MORPH=empty
cincq	cinq	ADJcar	NOMB.=p|GENRE=m
liures	livre	NOMcom	NOMB.=p|GENRE=m
particuliers	particulier	ADJqua	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
premier	premier	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
introduit	introduire	VERppe	NOMB.=s|GENRE=m
icelui	cil	DETdem	NOMB.=s|GENRE=m
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
comme	comme	CONsub	MORPH=empty
persone	personne	NOMcom	NOMB.=s|GENRE=f
malade	malade	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
sole	seul	ADJqua	NOMB.=s|GENRE=f
deplourant	déplorer	VERppa	NOMB.=s|GENRE=f
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=f
douleurs	douleur	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
aussi	aussi	ADVgen	MORPH=empty
Dame	dame	NOMpro	NOMB.=s|GENRE=f
philosophie	philosophie	NOMcom	NOMB.=s|GENRE=f
soubz	sous	PRE	MORPH=empty
persone	personne	NOMcom	NOMB.=s|GENRE=f
d	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
medecine	médecin	NOMcom	NOMB.=s|GENRE=f
;	;	PONfbl	MORPH=empty
Premierement	premièrement	ADVgen	MORPH=empty
enquerãt	enquérir	VERppa	NOMB.=s|GENRE=f
les	le	DETdef	NOMB.=p|GENRE=f
causes	cause	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
racines	racine	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
maladie	maladie	NOMcom	NOMB.=s|GENRE=f
dud	de_ledit	PRE.DETcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
essayant	essayer	VERppa	NOMB.=s|GENRE=f
l	le	DETdef	NOMB.=s|GENRE=f
entree	entrée	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
cure	cure	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
promettant	promettre	VERppa	NOMB.=s|GENRE=f
enfin	enfin	ADVgen	MORPH=empty
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
restituer	restituer	VERinf	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
sante	santé	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
second	second	ADJord	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
philosophie	philosophie	NOMcom	NOMB.=s|GENRE=f
administre	administrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
medecine	médecine	NOMcom	NOMB.=s|GENRE=f
preparatiue	préparatif	ADJqua	NOMB.=s|GENRE=f
a	à	PRE	MORPH=empty
Recepuoir	recevoir	VERinf	MORPH=empty
plus	plus	ADVgen	MORPH=empty
fortes	fort	ADJqua	NOMB.=p|GENRE=f
potions	potion	NOMcom	NOMB.=p|GENRE=f
;	;	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
premier	premier	ADJord	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
maniere	manière	NOMcom	NOMB.=s|GENRE=f
dee	de	PRE	MORPH=empty
rethoricien	rhétoricien	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
musicien	musicien	NOMcom	NOMB.=s|GENRE=m
,	,	PONfbl	MORPH=empty
ausquelz	à_lequel	PRE.PROrel	NOMB.=p|GENRE=m
il	il	PROimp	PERS.=0|NOMB.=s|GENRE=n|CAS=n
appartient	appartenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
adoulcir	adoucir	VERinf	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
langueurs	langueur	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
resioyr	réjouir	VERinf	MORPH=empty
;	;	PONfbl	MORPH=empty
icelle	icelui	PROdem	NOMB.=s|GENRE=f
adoucist	adoucir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
toute	tout	DETind	NOMB.=s|GENRE=f
la	le	DETdef	NOMB.=s|GENRE=f
perturbation	perturbation	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
disciple	disciple	NOMcom	NOMB.=s|GENRE=m
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
uenant	venir	VERppa	NOMB.=s|GENRE=f
par	par	PRE	MORPH=empty
fortune	fortune	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
tiers	tiers	ADJord	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
philosophie	philosophie	NOMcom	NOMB.=s|GENRE=f
donne	donner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
la	le	DETdef	NOMB.=s|GENRE=f
medecine	médecine	NOMcom	NOMB.=s|GENRE=f
purgatiue	purgatif	ADJqua	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
appaisant	apaiser	VERppa	NOMB.=s|GENRE=f
les	le	DETdef	NOMB.=p|GENRE=f
douleurs	douleur	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
erreurs	erreur	NOMcom	NOMB.=p|GENRE=f
dudit	de_ledit	PRE.DETcom	NOMB.=s|GENRE=m
boece	Boèce	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Ou	en_le	PRE.DETdef	NOMB.=s|GENRE=m
quart	quart	ADJord	NOMB.=s|GENRE=m
liure	livre	NOMcom	NOMB.=s|GENRE=m
philosophie	philosophie	NOMcom	NOMB.=s|GENRE=f
administre	administrer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
